threshold,group_type,group,n,mean_dice,mean_iou
0.3,tumor,glioma,254,0.6617708514037407,0.5616147812305433
0.3,tumor,meningioma,306,0.9099338213075938,0.8550383911738733
0.3,tumor,pituitary,300,0.822190213202747,0.7309775763774289
0.35,tumor,glioma,254,0.6620617268921379,0.5619806838602207
0.35,tumor,meningioma,306,0.9100631431046315,0.8552302147471683
0.35,tumor,pituitary,300,0.822763087997178,0.7317653992237794
0.4,tumor,glioma,254,0.6621774863990105,0.5621909416877738
0.4,tumor,meningioma,306,0.9101384553510141,0.8554196821476661
0.4,tumor,pituitary,300,0.8235963128128386,0.7329174792698261
0.45,tumor,glioma,254,0.6621106708296085,0.5621248027673051
0.45,tumor,meningioma,306,0.9101482987367157,0.8554317912524922
0.45,tumor,pituitary,300,0.8240648343904912,0.7335670294855138
0.5,tumor,glioma,254,0.6618821483863282,0.5618727994095284
0.5,tumor,meningioma,306,0.9099419521557311,0.8551877607426964
0.5,tumor,pituitary,300,0.8244674674602573,0.734042577216809
0.3,view,axial,346,0.7995443709286957,0.7223712062585069
0.3,view,coronal,257,0.8046563558691862,0.719958783075737
0.3,view,sagittal,257,0.8161384192131844,0.7339117915528562
0.35,view,axial,346,0.8002912337261917,0.7233116360631586
0.35,view,coronal,257,0.804574785564796,0.7199783226727537
0.35,view,sagittal,257,0.8163246694955595,0.7341358139125012
0.4,view,axial,346,0.8010631282295841,0.7244710100140576
0.4,view,coronal,257,0.8045578187374242,0.7199431605527558
0.4,view,sagittal,257,0.8164791476406867,0.7343883423342649
0.45,view,axial,346,0.8014162770249519,0.7249045334812015
0.45,view,coronal,257,0.8044659910346456,0.7198764446187632
0.45,view,sagittal,257,0.816588126750061,0.7345786849038692
0.5,view,axial,346,0.8015558699275838,0.7251690023452917
0.5,view,coronal,257,0.8041014916289303,0.7192856411801537
0.5,view,sagittal,257,0.81676314764311,0.734828927655866
0.3,size_group,large_>5%,60,0.846973733107249,0.7860917730256916
0.3,size_group,medium_1-5%,454,0.8428795925877717,0.7671717055776562
0.3,size_group,small_<1%,346,0.7505804928214296,0.6593170934427586
0.35,size_group,large_>5%,60,0.8460659726212422,0.7849931471670667
0.35,size_group,medium_1-5%,454,0.842761134065303,0.7670852681612974
0.35,size_group,small_<1%,346,0.7517179583724036,0.6607423659104347
0.4,size_group,large_>5%,60,0.8447636703650157,0.7835048902779818
0.4,size_group,medium_1-5%,454,0.8426187721032443,0.766996704290849
0.4,size_group,small_<1%,346,0.7530046241902796,0.6624374813355604
0.45,size_group,large_>5%,60,0.8435391875604789,0.7821972722187638
0.45,size_group,medium_1-5%,454,0.8426250027341791,0.7671415484428231
0.45,size_group,small_<1%,346,0.7535746752206846,0.6629995304787419
0.5,size_group,large_>5%,60,0.8423466534664233,0.7809195122371118
0.5,size_group,medium_1-5%,454,0.8422704214170795,0.7667214539669363
0.5,size_group,small_<1%,346,0.7542455860014994,0.6637838386332724
