threshold,group_type,group,n,mean_dice,mean_iou
0.3,tumor,glioma,254,0.6403835939614928,0.5309519036973003
0.3,tumor,meningioma,306,0.8654945550137055,0.7996260309522505
0.3,tumor,pituitary,300,0.8330706148903076,0.7431522781461979
0.35,tumor,glioma,254,0.639535237181141,0.5302137196532236
0.35,tumor,meningioma,306,0.8665554462650636,0.801094652402372
0.35,tumor,pituitary,300,0.8330393984477308,0.7434762781421925
0.4,tumor,glioma,254,0.6389486251248524,0.5296999659895186
0.4,tumor,meningioma,306,0.8674023640366064,0.8021850595000816
0.4,tumor,pituitary,300,0.833466505712337,0.7440450904826986
0.45,tumor,glioma,254,0.6383573511226269,0.5293224590362546
0.45,tumor,meningioma,306,0.8682776182653315,0.8033288437259104
0.45,tumor,pituitary,300,0.8333261497627502,0.744232905960163
0.5,tumor,glioma,254,0.6373222700543885,0.5284598677123999
0.5,tumor,meningioma,306,0.8690725823044532,0.804280962301552
0.5,tumor,pituitary,300,0.8331397541176169,0.7440096802573292
0.3,view,axial,346,0.7779938235333458,0.6910371568329438
0.3,view,coronal,257,0.7910934096425417,0.7034889781345994
0.3,view,sagittal,257,0.7973660776141422,0.7104961432279054
0.35,view,axial,346,0.7789294857186968,0.6921772046480045
0.35,view,coronal,257,0.790607506070544,0.7030860079029249
0.35,view,sagittal,257,0.7969805650452905,0.7107615370834288
0.4,view,axial,346,0.7798718672834091,0.6932664271809023
0.4,view,coronal,257,0.7901940577274641,0.7025766223399798
0.4,view,sagittal,257,0.797052478500379,0.7112590310007988
0.45,view,axial,346,0.7805055229217133,0.694076174668569
0.45,view,coronal,257,0.7898459083021379,0.7022994017968958
0.45,view,sagittal,257,0.7968414550140137,0.7116540850827201
0.5,view,axial,346,0.7813085167609024,0.6951086287084728
0.5,view,coronal,257,0.7891908149815089,0.701631436337195
0.5,view,sagittal,257,0.7961214271001649,0.7109526080491536
0.3,size_group,large_>5%,60,0.7678218682607015,0.6878723910699288
0.3,size_group,medium_1-5%,454,0.7980455188171245,0.7150451123988621
0.3,size_group,small_<1%,346,0.7775663974823376,0.683786728211223
0.35,size_group,large_>5%,60,0.7674881346523762,0.6876347062488397
0.35,size_group,medium_1-5%,454,0.7975242056621857,0.7146209065728082
0.35,size_group,small_<1%,346,0.7785967019816867,0.685422421707275
0.4,size_group,large_>5%,60,0.766916490594546,0.6871645404025912
0.4,size_group,medium_1-5%,454,0.7972775530109844,0.7145148718888371
0.4,size_group,small_<1%,346,0.7797081716414901,0.6867234752933085
0.45,size_group,large_>5%,60,0.7662818952153126,0.686639198102057
0.45,size_group,medium_1-5%,454,0.7969556605577658,0.7142685316425031
0.45,size_group,small_<1%,346,0.7804589008584374,0.6880350789351629
0.5,size_group,large_>5%,60,0.7657228058824936,0.6860210529838999
0.5,size_group,medium_1-5%,454,0.7963438277328934,0.7136485093823208
0.5,size_group,small_<1%,346,0.7811402510710382,0.6889710939358832
